"Survey"	"Date"	"Station"	"Temp"	"Top EC"	"Bottom EC"	"Secchi"	"Turbidity"	"Latitude"	"Longitude"	"Comments"
3	5/13/1996 0:00:00	344	21.50	13120	13260	37				
3	5/13/1996 0:00:00	345	22.50	11480	13040	48				
3	5/13/1996 0:00:00	346	22.90	9200	10410	40				
3	5/14/1996 0:00:00	323	18.10	17880	18670	28				
3	5/14/1996 0:00:00	405	19.30	4083	11100	23				
3	5/14/1996 0:00:00	411	19.30	3133	4570	38				
3	5/14/1996 0:00:00	501	19.50	900	1370	36				
3	5/14/1996 0:00:00	504	19.70	264	440	56				
4	5/21/1996 0:00:00	809	17.70	154	159	80				
4	5/21/1996 0:00:00	901	17.50	162	176	83				
4	5/21/1996 0:00:00	902	19.10	250	246	101				
4	5/21/1996 0:00:00	910	17.20	175	132	56				
4	5/21/1996 0:00:00	912	16.80	158	163	57				
4	5/21/1996 0:00:00	914	20.10	323	158	112				
4	5/21/1996 0:00:00	915	19.60	365	361	68				
4	5/21/1996 0:00:00	918	17.20	226	224	54				
4	5/22/1996 0:00:00	705	15.30	81	83	43				
4	5/22/1996 0:00:00	707	14.60	86	84	43				
4	5/22/1996 0:00:00	711	14.90	75	77	41				
4	5/22/1996 0:00:00	716	17.50	229	169	33				
4	5/22/1996 0:00:00	812	16.50	120	121	75				
4	5/22/1996 0:00:00	815	16.00	115	119	64				
4	5/22/1996 0:00:00	906	17.50	190	183	79				
4	5/22/1996 0:00:00	919	14.50	69	71	52				
4	5/23/1996 0:00:00	508	17.50	134	106	59				
4	5/23/1996 0:00:00	513	16.50	117	98	58				
4	5/23/1996 0:00:00	520	17.20	133	136	59				
4	5/23/1996 0:00:00	703	15.00	88	90	59				
4	5/23/1996 0:00:00	704	15.20	115	112	34				
4	5/23/1996 0:00:00	706	14.90	115	110	44				
4	5/23/1996 0:00:00	801	17.20	134	133	53				
4	5/23/1996 0:00:00	802	16.70	160	157	64				
4	5/23/1996 0:00:00	804	17.80	159	163	73				
4	5/24/1996 0:00:00	418	16.90	240	4007	30				
4	5/24/1996 0:00:00	602	16.00	119	232	20				
4	5/24/1996 0:00:00	606	18.80	1027	1083	15				
4	5/24/1996 0:00:00	609	16.20	300	298	24				
4	5/24/1996 0:00:00	610	15.10	93	96	25				
4	5/28/1996 0:00:00	340	16.60	10260	11970	35				
4	5/28/1996 0:00:00	342	17.40	9570	9510	30				
